mode	error	time/s	<Ewe/V>	
3	0	2.906525926574977E+002	2.4467017E-001
3	0	2.911525926448667E+002	2.5065985E-001
3	0	2.916525926322356E+002	2.5427976E-001
3	0	2.921525926196045E+002	2.5692561E-001
3	0	2.926525926069735E+002	2.5904053E-001
3	0	2.931525925943424E+002	2.6082054E-001
3	0	2.936525925817114E+002	2.6236355E-001
3	0	2.941525925690803E+002	2.6373562E-001
3	0	2.946525925564492E+002	2.6496685E-001
3	0	2.951525925438182E+002	2.6609120E-001
3	0	2.956525925311871E+002	2.6711956E-001
3	0	2.961525925185560E+002	2.6807767E-001
3	0	2.966525925059250E+002	2.6897678E-001
3	0	2.971525924932939E+002	2.6981837E-001
3	0	2.976525924806629E+002	2.7060056E-001
3	0	2.981525924680318E+002	2.7134904E-001
3	0	2.986525924554007E+002	2.7206066E-001
3	0	2.991525924427697E+002	2.7273056E-001
3	0	2.996525924301386E+002	2.7338043E-001
3	0	3.001525924175075E+002	2.7400106E-001
3	0	3.006525924048765E+002	2.7460119E-001
3	0	3.011525923922454E+002	2.7517614E-001
3	0	3.016525923796144E+002	2.7572328E-001
3	0	3.021525923669833E+002	2.7626291E-001
3	0	3.026525923543522E+002	2.7677402E-001
3	0	3.031525923417212E+002	2.7727714E-001
3	0	3.036525923290901E+002	2.7776369E-001
3	0	3.041525923164590E+002	2.7823138E-001
3	0	3.046525923038280E+002	2.7868119E-001
3	0	3.051525922911969E+002	2.7912778E-001
3	0	3.056525922785659E+002	2.7955529E-001
3	0	3.061525922659348E+002	2.7997810E-001
3	0	3.066525922533037E+002	2.8038225E-001
3	0	3.071525922406727E+002	2.8078425E-001
3	0	3.076525922280416E+002	2.8117901E-001
3	0	3.081525922154106E+002	2.8155711E-001
3	0	3.086525922027795E+002	2.8193596E-001
3	0	3.091525921901484E+002	2.8230762E-001
3	0	3.096525921775174E+002	2.8266808E-001
3	0	3.101525921648863E+002	2.8301242E-001
3	0	3.106525921522552E+002	2.8336042E-001
3	0	3.111525921396242E+002	2.8370190E-001
3	0	3.116525921269931E+002	2.8403333E-001
3	0	3.121525921143621E+002	2.8436032E-001
3	0	3.126525921017310E+002	2.8468058E-001
3	0	3.131525920890999E+002	2.8500333E-001
3	0	3.136525920764689E+002	2.8531036E-001
3	0	3.141525920638378E+002	2.8562057E-001
3	0	3.146525920512067E+002	2.8591451E-001
3	0	3.151525920385757E+002	2.8621599E-001
3	0	3.156525920259446E+002	2.8650424E-001
3	0	3.161525920133136E+002	2.8679591E-001
3	0	3.166525920006825E+002	2.8707960E-001
3	0	3.171525919880514E+002	2.8736120E-001
3	0	3.176525919754204E+002	2.8763714E-001
3	0	3.181525919627893E+002	2.8790656E-001
3	0	3.186525919501582E+002	2.8816968E-001
3	0	3.191525919375272E+002	2.8844073E-001
3	0	3.196525919248961E+002	2.8870752E-001
3	0	3.201525919122651E+002	2.8895795E-001
3	0	3.206525918996340E+002	2.8921652E-001
3	0	3.211525918870029E+002	2.8947118E-001
3	0	3.216525918743719E+002	2.8971586E-001
3	0	3.221525918617408E+002	2.8996554E-001
3	0	3.226525918491097E+002	2.9020321E-001
3	0	3.231525918364787E+002	2.9044327E-001
3	0	3.236525918238476E+002	2.9068649E-001
3	0	3.241525918112166E+002	2.9092133E-001
3	0	3.246525917985855E+002	2.9115853E-001
3	0	3.251525917859544E+002	2.9138789E-001
3	0	3.256525917733234E+002	2.9161534E-001
3	0	3.261525917606923E+002	2.9183981E-001
3	0	3.266525917480612E+002	2.9206431E-001
3	0	3.271525917354302E+002	2.9229480E-001
3	0	3.276525917227991E+002	2.9251805E-001
3	0	3.281525917101681E+002	2.9272786E-001
3	0	3.286525916975370E+002	2.9294252E-001
3	0	3.291525916849059E+002	2.9315805E-001
3	0	3.296525916722749E+002	2.9337201E-001
3	0	3.301525916596438E+002	2.9358444E-001
3	0	3.306525916470127E+002	2.9379335E-001
3	0	3.311525916343817E+002	2.9400203E-001
3	0	3.316525916217506E+002	2.9420653E-001
3	0	3.321525916091196E+002	2.9441157E-001
3	0	3.326525915964885E+002	2.9461476E-001
3	0	3.331525915838574E+002	2.9481387E-001
3	0	3.336525915712264E+002	2.9501501E-001
3	0	3.341525915585953E+002	2.9520705E-001
3	0	3.346525915459642E+002	2.9540572E-001
3	0	3.351525915333332E+002	2.9560283E-001
3	0	3.356525915207021E+002	2.9579884E-001
3	0	3.361525915080711E+002	2.9598510E-001
3	0	3.366525914954400E+002	2.9617825E-001
3	0	3.371525914828089E+002	2.9636917E-001
3	0	3.376525914701779E+002	2.9655400E-001
3	0	3.381525914575468E+002	2.9673856E-001
3	0	3.386525914449157E+002	2.9692355E-001
3	0	3.391525914322847E+002	2.9710945E-001
3	0	3.396525914196536E+002	2.9729471E-001
3	0	3.401525914070226E+002	2.9747227E-001
3	0	3.402025914057594E+002	2.9756513E-001
