mode	error	time/s	<Ewe/V>	
3	0	1.205501969546458E+002	3.3478981E-001
3	0	1.210501969420147E+002	3.3540514E-001
3	0	1.215501969293837E+002	3.3584455E-001
3	0	1.220501969167526E+002	3.3620685E-001
3	0	1.225501969041215E+002	3.3651915E-001
3	0	1.230501968914905E+002	3.3679888E-001
3	0	1.235501968788594E+002	3.3705148E-001
3	0	1.240501968662284E+002	3.3729222E-001
3	0	1.245501968535973E+002	3.3752462E-001
3	0	1.250501968409662E+002	3.3773908E-001
3	0	1.255501968283352E+002	3.3794126E-001
3	0	1.260501968157041E+002	3.3813930E-001
3	0	1.265501968030731E+002	3.3833036E-001
3	0	1.270501967904420E+002	3.3851123E-001
3	0	1.275501967778109E+002	3.3868805E-001
3	0	1.280501967651799E+002	3.3885464E-001
3	0	1.285501967525488E+002	3.3902502E-001
3	0	1.290501967399177E+002	3.3918354E-001
3	0	1.295501967272867E+002	3.3933786E-001
3	0	1.300501967146556E+002	3.3949775E-001
3	0	1.305501967020246E+002	3.3964774E-001
3	0	1.310501966893935E+002	3.3979854E-001
3	0	1.315501966767624E+002	3.3994499E-001
3	0	1.320501966641314E+002	3.4008601E-001
3	0	1.325501966515003E+002	3.4022489E-001
3	0	1.330501966388692E+002	3.4036425E-001
3	0	1.335501966262382E+002	3.4049752E-001
3	0	1.340501966136071E+002	3.4063375E-001
3	0	1.345501966009761E+002	3.4076458E-001
3	0	1.350501965883450E+002	3.4089586E-001
3	0	1.355501965757139E+002	3.4102565E-001
3	0	1.360501965630829E+002	3.4115365E-001
3	0	1.365501965504518E+002	3.4127557E-001
3	0	1.370501965378207E+002	3.4140098E-001
3	0	1.375501965251897E+002	3.4152150E-001
3	0	1.380501965125586E+002	3.4163931E-001
3	0	1.385501964999276E+002	3.4176090E-001
3	0	1.390501964872965E+002	3.4187526E-001
3	0	1.395501964746654E+002	3.4198868E-001
3	0	1.400501964620344E+002	3.4210578E-001
3	0	1.405501964494033E+002	3.4222513E-001
3	0	1.410501964367722E+002	3.4234077E-001
3	0	1.415501964241412E+002	3.4245104E-001
3	0	1.420501964115101E+002	3.4256133E-001
3	0	1.425501963988791E+002	3.4267142E-001
3	0	1.430501963862480E+002	3.4277871E-001
3	0	1.435501963736169E+002	3.4288409E-001
3	0	1.440501963609859E+002	3.4299120E-001
3	0	1.445501963483548E+002	3.4309706E-001
3	0	1.450501963357237E+002	3.4320384E-001
3	0	1.455501963230927E+002	3.4330446E-001
3	0	1.460501963104616E+002	3.4340262E-001
3	0	1.465501962978306E+002	3.4351015E-001
3	0	1.470501962851995E+002	3.4361598E-001
3	0	1.475501962725684E+002	3.4371611E-001
3	0	1.480501962599374E+002	3.4381446E-001
3	0	1.485501962473063E+002	3.4391534E-001
3	0	1.490501962346752E+002	3.4401557E-001
3	0	1.495501962220442E+002	3.4411627E-001
3	0	1.500501962094131E+002	3.4421402E-001
3	0	1.505501961967821E+002	3.4431061E-001
3	0	1.510501961841510E+002	3.4440523E-001
3	0	1.515501961715199E+002	3.4449744E-001
3	0	1.520501961588889E+002	3.4459209E-001
3	0	1.525501961462578E+002	3.4468877E-001
3	0	1.530501961336267E+002	3.4478456E-001
3	0	1.535501961209957E+002	3.4488076E-001
3	0	1.540501961083646E+002	3.4497115E-001
3	0	1.545501960957336E+002	3.4506229E-001
3	0	1.550501960831025E+002	3.4515321E-001
3	0	1.555501960704714E+002	3.4525016E-001
3	0	1.560501960578404E+002	3.4534034E-001
3	0	1.565501960452093E+002	3.4542891E-001
3	0	1.570501960325782E+002	3.4551620E-001
3	0	1.575501960199472E+002	3.4560251E-001
3	0	1.580501960073161E+002	3.4569046E-001
3	0	1.585501959946851E+002	3.4577385E-001
3	0	1.590501959820540E+002	3.4585956E-001
3	0	1.595501959694229E+002	3.4595069E-001
3	0	1.600501959567919E+002	3.4603903E-001
3	0	1.605501959441608E+002	3.4612486E-001
3	0	1.610501959315297E+002	3.4620759E-001
3	0	1.615501959188987E+002	3.4629509E-001
3	0	1.620501959062676E+002	3.4638277E-001
3	0	1.625501958936366E+002	3.4647042E-001
3	0	1.630501958810055E+002	3.4655654E-001
3	0	1.635501958683744E+002	3.4664345E-001
3	0	1.640501958557434E+002	3.4672680E-001
3	0	1.645501958431123E+002	3.4680697E-001
3	0	1.650501958304812E+002	3.4688675E-001
3	0	1.655501958178502E+002	3.4696886E-001
3	0	1.660501958052191E+002	3.4705636E-001
3	0	1.665501957925881E+002	3.4713617E-001
3	0	1.670501957799570E+002	3.4721944E-001
3	0	1.675501957673259E+002	3.4730235E-001
3	0	1.680501957546949E+002	3.4738597E-001
3	0	1.685501957420638E+002	3.4746575E-001
3	0	1.690501957294327E+002	3.4754646E-001
3	0	1.695501957168017E+002	3.4762651E-001
3	0	1.700501957041706E+002	3.4770855E-001
3	0	1.701001957029075E+002	3.4774715E-001
