mode	ox/red	error	control changes		time/s	control/V	Ewe/V	<I>/mA		(Q-Qo)/C	I Range		Pwe/W	Rwe/Ohm	
3	0	0	1	0	0.000000000000000E+000	0.0000000E+000	4.5001519E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
3	0	0	0	0	2.999979924214131E+001	9.0028149E-001	4.4999608E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
2	1	0	1	0	3.003059924136323E+001	8.9889687E-001	8.9878225E-001	1.199897720168033E-002	0	7.2278232E-007	13	0	1.0784468E-005	7.4904906E+004
2	1	0	1	0	3.006449924050685E+001	8.9720500E-001	8.9716846E-001	7.811858273399759E-003	0	1.0027031E-006	13	0	7.0085530E-006	1.1484700E+005
2	1	0	1	0	3.012609923895070E+001	8.9412487E-001	8.9410794E-001	4.978079460753002E-003	0	1.3841809E-006	13	0	4.4509402E-006	1.7960902E+005
2	1	0	1	0	3.018769923739455E+001	8.9104491E-001	8.9102638E-001	3.898251692911796E-003	0	1.6514730E-006	13	0	3.4734451E-006	2.2857077E+005
2	1	0	1	0	3.026449923545442E+001	8.8720447E-001	8.8714635E-001	3.175579202321220E-003	0	1.9146196E-006	13	0	2.8172035E-006	2.7936522E+005
2	1	0	1	0	3.034149923350924E+001	8.8335490E-001	8.8335478E-001	2.684912320942957E-003	0	2.1420628E-006	14	0	2.3717300E-006	3.2900694E+005
2	1	0	1	0	3.040309923195309E+001	8.8027483E-001	8.8023978E-001	2.424829478249083E-003	0	2.2975821E-006	14	0	2.1344313E-006	3.6301100E+005
2	1	0	1	0	3.046469923039695E+001	8.7719488E-001	8.7720454E-001	2.219161145375639E-003	0	2.4389449E-006	14	0	1.9466581E-006	3.9528653E+005
2	1	0	1	0	3.052609922884585E+001	8.7412483E-001	8.7412524E-001	2.050544896734424E-003	0	2.5684988E-006	14	0	1.7924331E-006	4.2628925E+005
2	1	0	1	0	3.058769922728970E+001	8.7104481E-001	8.7101632E-001	1.908579059908096E-003	0	2.6890757E-006	14	0	1.6624035E-006	4.5636900E+005
2	1	0	1	0	3.064929922573356E+001	8.6796486E-001	8.6796427E-001	1.784833663500296E-003	0	2.8014904E-006	14	0	1.5491719E-006	4.8629981E+005
2	1	0	1	0	3.071089922417741E+001	8.6488485E-001	8.6487168E-001	1.677429408394478E-003	0	2.9068940E-006	14	0	1.4507611E-006	5.1559350E+005
2	1	0	1	0	3.077249922262126E+001	8.6180478E-001	8.6175603E-001	1.583468560316874E-003	0	3.0061731E-006	14	0	1.3645636E-006	5.4422050E+005
