freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	Pwe/W	Rwe/Ohm	
1.0000371E+005	6.7807417E+000	2.1434650E+000	7.1114626E+000	-1.7542303E+001	5.166989302905858E+001	2.9169050E-001	-3.0131944E-002	7.4248487E-001	6.7453198E-002	1.000000000000000E+000	10	9.0357689E-003	1.2705922E-003	0	-1.201783429526000E-005	1.3407856E-001	4.2383671E-002	1.4061806E-001	1.7542303E+001	6.7453209E+001	2.1338474E+002	2.2379227E+002	-7.2457695E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.2457695E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.2457695E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.7542303E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.7542303E+001	3.1634488E+000	7.2457695E+001	-1.201783429526000E-005	-8.7892013E-006	9.6804404E+003
6.8261953E+004	6.8595161E+000	3.1867731E+000	7.5636292E+000	-2.4918493E+001	5.210687680981937E+001	2.9168513E-001	-2.9277641E-002	7.3162794E-001	1.2987696E-001	1.000000000000000E+000	10	1.0502908E-002	1.3886070E-003	0	-1.404050862771045E-005	1.1990383E-001	5.5704553E-002	1.3221167E-001	2.4918493E+001	1.2987695E+002	2.7955960E+002	3.0825574E+002	-6.5081505E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.5081505E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.5081505E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.4918493E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.4918493E+001	2.1524959E+000	6.5081505E+001	-2.022674332450454E-006	-8.5398524E-006	9.9627266E+003
4.6596645E+004	7.0207334E+000	4.6433682E+000	8.4173374E+000	-3.3479828E+001	5.254387624390074E+001	2.9167646E-001	-3.1300794E-002	7.3558420E-001	2.2384590E-001	1.000000000000000E+000	10	1.0781756E-002	1.2808986E-003	0	-1.880260027331921E-005	9.9090725E-002	6.5536566E-002	1.1880241E-001	3.3479828E+001	2.2384590E+002	3.3845309E+002	4.0578009E+002	-5.6520172E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.6520172E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.6520172E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.3479828E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.3479828E+001	1.5119915E+000	5.6520172E+001	-4.762091645608762E-006	-9.1297052E-006	9.3185000E+003
3.1806711E+004	7.2379475E+000	6.7138805E+000	9.8723898E+000	-4.2848835E+001	5.298087778463378E+001	2.9166791E-001	-3.0934138E-002	7.4529427E-001	3.4469137E-001	1.000000000000000E+000	10	1.0856733E-002	1.0997066E-003	0	-2.178495742781605E-005	7.4262716E-002	6.8885691E-002	1.0129260E-001	4.2848835E+001	3.4469138E+002	3.7159702E+002	5.0684958E+002	-4.7151165E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.7151165E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.7151165E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.2848835E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.2848835E+001	1.0780573E+000	4.7151169E+001	-2.982357154496841E-006	-9.0224958E-006	9.4286738E+003
2.1711699E+004	7.6139188E+000	9.6631336E+000	1.2302354E+001	-5.1764198E+001	5.341787868543179E+001	2.9167897E-001	-3.0409276E-002	7.5859219E-001	4.6802375E-001	1.000000000000000E+000	10	1.0635610E-002	8.6451828E-004	0	-2.498078962083996E-005	5.0307393E-002	6.3847162E-002	8.1285261E-002	5.1764198E+001	4.6802371E+002	3.6877213E+002	5.9585156E+002	-3.8235802E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.8235802E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.8235802E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.1764198E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.1764198E+001	7.8793478E-001	3.8235809E+001	-3.195832193023913E-006	-8.8697461E-006	9.5917764E+003
1.4817771E+004	8.2592297E+000	1.3854518E+001	1.6129555E+001	-5.9199150E+001	5.385489390618750E+001	2.9168329E-001	-3.0770367E-002	7.7525729E-001	5.7198405E-001	1.000000000000000E+000	10	1.0304168E-002	6.3883769E-004	0	-2.771569242947994E-005	3.1746417E-002	5.3253315E-002	6.1997991E-002	5.9199150E+001	5.7198413E+002	3.4098245E+002	6.6590906E+002	-3.0800850E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.0800850E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.0800850E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.9199150E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.9199150E+001	5.9613979E-001	3.0800842E+001	-2.734902808639971E-006	-8.9752020E-006	9.4793564E+003
1.0113567E+004	9.3123178E+000	1.9811340E+001	2.1890831E+001	-6.4824135E+001	5.415088917352841E+001	2.9168218E-001	-3.1105386E-002	7.9433167E-001	6.5058661E-001	1.000000000000000E+000	10	9.7119128E-003	4.4365210E-004	0	-3.038344376598899E-005	1.9432709E-002	4.1341800E-002	4.5681227E-002	6.4824135E+001	6.5058667E+002	3.0580817E+002	7.1887524E+002	-2.5175865E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.5175865E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.5175865E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.4824135E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.4824135E+001	4.7004986E-001	2.5175873E+001	-2.667751336509050E-006	-9.0728872E-006	9.3772246E+003
6.9048516E+003	1.1141457E+001	2.8332045E+001	3.0443995E+001	-6.8532974E+001	5.452486775131547E+001	2.9168156E-001	-2.5691092E-002	8.1355685E-001	7.0459646E-001	1.000000000000000E+000	10	9.1688372E-003	3.0117063E-004	0	-3.272949923972353E-005	1.2020948E-002	3.0568535E-002	3.2847200E-002	6.8532974E+001	7.0459637E+002	2.7707956E+002	7.5711896E+002	-2.1467026E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.1467026E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.1467026E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.8532974E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.8532974E+001	3.9324576E-001	2.1467026E+001	-2.346055473734548E-006	-7.4936179E-006	1.1353412E+004
4.7165098E+003	1.4420209E+001	4.0138943E+001	4.2650642E+001	-7.0238800E+001	5.569608239366789E+001	2.9171410E-001	-4.1100595E-002	8.4068537E-001	7.4458480E-001	1.000000000000000E+000	11	1.0174215E-002	2.3854776E-004	0	-4.391091646099125E-005	7.9272129E-003	2.2065552E-002	2.3446307E-002	7.0238800E+001	7.4458484E+002	2.6749759E+002	7.9117731E+002	-1.9761200E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9761200E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9761200E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0238800E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0238800E+001	3.5925731E-001	1.9761200E+001	-1.118141722126772E-005	-1.1989623E-005	7.0975640E+003
3.2169119E+003	2.0356394E+001	5.6448215E+001	6.0006531E+001	-7.0169647E+001	5.616336614917964E+001	2.9169944E-001	-4.1066874E-002	8.7645733E-001	7.7559346E-001	1.000000000000000E+000	11	9.1437763E-003	1.5237968E-004	0	-4.926716437795726E-005	5.6533231E-003	1.5676647E-002	1.6664853E-002	7.0169647E+001	7.7559344E+002	2.7969504E+002	8.2448438E+002	-1.9830353E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9830353E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9830353E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0169647E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0169647E+001	3.6062068E-001	1.9830353E+001	-5.356247916966010E-006	-1.1979184E-005	7.1030352E+003
