freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	Pwe/W	Rwe/Ohm	
1.0000371E+005	6.7647147E+000	2.2490640E+000	7.1287904E+000	-1.8390413E+001	5.166889486901346E+001	2.9167411E-001	-5.1554635E-002	7.0762342E-001	7.0432663E-002	1.000000000000000E+000	10	9.0735219E-003	1.2727997E-003	0	-2.063697918595669E-005	1.3311218E-001	4.4255793E-002	1.4027625E-001	1.8390413E+001	7.0432655E+001	2.1184674E+002	2.2324829E+002	-7.1609589E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1609589E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1609589E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8390413E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8390413E+001	3.0077910E+000	7.1609589E+001	-2.063697918595669E-005	-1.5037152E-005	5.6575728E+003
6.8261953E+004	6.8418608E+000	3.3456793E+000	7.6160769E+000	-2.6058697E+001	5.210588728977018E+001	2.9167464E-001	-5.0718945E-002	6.9687855E-001	1.3448167E-001	1.000000000000000E+000	10	1.0513861E-002	1.3804825E-003	0	-2.677698329460367E-005	1.1795370E-001	5.7679523E-002	1.3130119E-001	2.6058697E+001	1.3448167E+002	2.7501285E+002	3.0613297E+002	-6.3941303E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.3941303E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.3941303E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.6058697E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.6058697E+001	2.0449841E+000	6.3941299E+001	-6.140004108646988E-006	-1.4793430E-005	5.7508027E+003
4.6596645E+004	6.9872212E+000	4.8816729E+000	8.5236139E+000	-3.4940353E+001	5.254288333715522E+001	2.9167005E-001	-5.1106080E-002	6.9967580E-001	2.2950208E-001	1.000000000000000E+000	10	1.0763140E-002	1.2627437E-003	0	-2.979057979208624E-005	9.6173845E-002	6.7192547E-002	1.1732113E-001	3.4940353E+001	2.2950209E+002	3.2849026E+002	4.0072067E+002	-5.5059647E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.5059647E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.5059647E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.4940353E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.4940353E+001	1.4313170E+000	5.5059647E+001	-3.013596497482569E-006	-1.4906113E-005	5.7071499E+003
3.1806711E+004	7.2085285E+000	7.0715032E+000	1.0097972E+001	-4.4450230E+001	5.297988186459406E+001	2.9167727E-001	-5.0983243E-002	7.0760292E-001	3.4701225E-001	1.000000000000000E+000	10	1.0956297E-002	1.0849998E-003	0	-3.552843455881682E-005	7.0693307E-002	6.9349512E-002	9.9029787E-002	4.4450230E+001	3.4701224E+002	3.5373633E+002	4.9552689E+002	-4.5549770E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.5549770E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.5549770E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.4450230E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.4450230E+001	1.0193771E+000	4.5549774E+001	-5.737854766730581E-006	-1.4870653E-005	5.7210420E+003
2.1711699E+004	7.5844998E+000	1.0198760E+001	1.2709813E+001	-5.3362968E+001	5.341688156538294E+001	2.9167354E-001	-5.1204737E-002	7.1875185E-001	4.6280217E-001	1.000000000000000E+000	10	1.0623396E-002	8.3584205E-004	0	-4.143558295005157E-005	4.6951406E-002	6.3134834E-002	7.8679360E-002	5.3362968E+001	4.6280215E+002	3.4417154E+002	5.7674939E+002	-3.6637032E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.6637032E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.6637032E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.3362968E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.3362968E+001	7.4366879E-001	3.6637024E+001	-5.907148391234741E-006	-1.4935067E-005	5.6962217E+003
1.4817771E+004	8.2314310E+000	1.4681775E+001	1.6831844E+001	-6.0722553E+001	5.385288833270897E+001	2.9167542E-001	-5.1154494E-002	7.3157477E-001	5.5661184E-001	1.000000000000000E+000	10	1.0180478E-002	6.0483435E-004	0	-4.716156120572123E-005	2.9054400E-002	5.1822118E-002	5.9411194E-002	6.0722553E+001	5.5661188E+002	3.1206799E+002	6.3812476E+002	-2.9277447E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.9277447E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.9277447E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.0722553E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.0722553E+001	5.6065637E-001	2.9277451E+001	-5.725978255669664E-006	-1.4920509E-005	5.7018530E+003
1.0113567E+004	9.3363914E+000	2.1012369E+001	2.2993214E+001	-6.6043068E+001	5.414888474679901E+001	2.9167706E-001	-5.0692912E-002	7.4892914E-001	6.2544835E-001	1.000000000000000E+000	10	9.5324488E-003	4.1457661E-004	0	-5.089572010623912E-005	1.7659551E-002	3.9744373E-002	4.3491092E-002	6.6043068E+001	6.2544836E+002	2.7790442E+002	6.8440961E+002	-2.3956932E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.3956932E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.3956932E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.6043068E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.6043068E+001	4.4432837E-001	2.3956940E+001	-3.734158900517888E-006	-1.4785959E-005	5.7538037E+003
6.9048516E+003	1.1274388E+001	3.0117079E+001	3.2158207E+001	-6.9476517E+001	5.469887189290603E+001	2.9167631E-001	-4.4753753E-002	7.6533741E-001	6.7126650E-001	1.000000000000000E+000	10	9.9394647E-003	3.0908021E-004	0	-5.734289309186958E-005	1.0902077E-002	2.9122537E-002	3.1096261E-002	6.9476517E+001	6.7126654E+002	2.5128990E+002	7.1676031E+002	-2.0523483E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.0523483E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.0523483E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.9476517E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.9476517E+001	3.7435198E-001	2.0523483E+001	-6.447172985630460E-006	-1.3053609E-005	6.5173599E+003
4.7165098E+003	1.4773884E+001	4.2669598E+001	4.5154869E+001	-7.0902145E+001	5.564609183129505E+001	2.9169935E-001	-6.1412301E-002	7.9082578E-001	7.0616919E-001	1.000000000000000E+000	11	1.0061555E-002	2.2282325E-004	0	-7.182089654359556E-005	7.2457856E-003	2.0927114E-002	2.2146005E-002	7.0902145E+001	7.0616919E+002	2.4450339E+002	7.4729968E+002	-1.9097855E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9097855E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9097855E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0902145E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0902145E+001	3.4623912E-001	1.9097855E+001	-1.447800345172599E-005	-1.7913928E-005	4.7498521E+003
3.2169119E+003	2.1161489E+001	6.0102825E+001	6.3719372E+001	-7.0603439E+001	5.611335033347132E+001	2.9170007E-001	-6.1315980E-002	8.2316351E-001	7.3237395E-001	1.000000000000000E+000	11	9.0875579E-003	1.4261845E-004	0	-7.974118869755532E-005	5.2119861E-003	1.4803073E-002	1.5693814E-002	7.0603439E+001	7.3237390E+002	2.5786017E+002	7.7644281E+002	-1.9396561E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9396561E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9396561E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0603439E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0603439E+001	3.5208809E-001	1.9396561E+001	-7.920292153959762E-006	-1.7885875E-005	4.7573252E+003
