mode	ox/red	error	control changes		time/s	control/V	Ewe/V	<I>/mA		(Q-Qo)/C	I Range		Pwe/W	Rwe/Ohm	
3	0	0	1	0	0.000000000000000E+000	0.0000000E+000	4.4881308E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
3	0	0	0	0	2.999979924214131E+001	9.0028149E-001	4.4875583E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
2	1	0	1	0	3.003059924136323E+001	8.9889687E-001	8.9885861E-001	1.069414274146160E-002	0	7.2174186E-007	13	0	9.6125223E-006	8.4051484E+004
2	1	0	1	0	3.006449924050685E+001	8.9720500E-001	8.9717484E-001	6.988216181602787E-003	0	9.7180316E-007	13	0	6.2696517E-006	1.2838395E+005
2	1	0	1	0	3.012609923895070E+001	8.9412487E-001	8.9411569E-001	4.528787022205518E-003	0	1.3155583E-006	13	0	4.0492596E-006	1.9742939E+005
2	1	0	1	0	3.018769923739455E+001	8.9104491E-001	8.9099330E-001	3.607035239753101E-003	0	1.5606174E-006	13	0	3.2138441E-006	2.4701541E+005
2	1	0	1	0	3.026449923545442E+001	8.8720447E-001	8.8719517E-001	2.980210731464504E-003	0	1.8055612E-006	13	0	2.6440287E-006	2.9769544E+005
2	1	0	1	0	3.034149923350924E+001	8.8335490E-001	8.8337713E-001	2.545199532629834E-003	0	2.0194796E-006	14	0	2.2483712E-006	3.4707578E+005
2	1	0	1	0	3.040309923195309E+001	8.8027483E-001	8.8021618E-001	2.317337704592949E-003	0	2.1676640E-006	14	0	2.0397581E-006	3.7983941E+005
2	1	0	1	0	3.046469923039695E+001	8.7719488E-001	8.7716556E-001	2.140154192440756E-003	0	2.3034493E-006	14	0	1.8772696E-006	4.0986091E+005
2	1	0	1	0	3.052609922884585E+001	8.7412483E-001	8.7411785E-001	1.990556431802484E-003	0	2.4288365E-006	14	0	1.7399809E-006	4.3913241E+005
2	1	0	1	0	3.058769922728970E+001	8.7104481E-001	8.7103522E-001	1.864731513430803E-003	0	2.5463862E-006	14	0	1.6242468E-006	4.6711025E+005
2	1	0	1	0	3.064929922573356E+001	8.6796486E-001	8.6797899E-001	1.758964284853067E-003	0	2.6568068E-006	14	0	1.5267441E-006	4.9346028E+005
2	1	0	1	0	3.071089922417741E+001	8.6488485E-001	8.6487281E-001	1.661341419365171E-003	0	2.7610724E-006	14	0	1.4368491E-006	5.2058703E+005
2	1	0	1	0	3.077249922262126E+001	8.6180478E-001	8.6173797E-001	1.578774961579342E-003	0	2.8599804E-006	14	0	1.3604903E-006	5.4582700E+005
2	1	0	1	0	3.083389922107017E+001	8.5873485E-001	8.5866874E-001	1.507669235138838E-003	0	2.9537721E-006	14	0	1.2945884E-006	5.6953388E+005
2	1	0	1	0	3.089549921951402E+001	8.5565490E-001	8.5563463E-001	1.443594008365869E-003	0	3.0438123E-006	14	0	1.2351891E-006	5.9271138E+005
2	1	0	1	0	3.095709921795788E+001	8.5257477E-001	8.5252100E-001	1.383489339533135E-003	0	3.1300119E-006	14	0	1.1794538E-006	6.1621075E+005
2	1	0	1	0	3.101869921640173E+001	8.4949481E-001	8.4946686E-001	1.330072105736595E-003	0	3.2127894E-006	14	0	1.1298522E-006	6.3866225E+005
2	1	0	1	0	3.108009921485063E+001	8.4642476E-001	8.4645057E-001	1.282319640555031E-003	0	3.2921146E-006	14	0	1.0854202E-006	6.6009325E+005
2	1	0	1	0	3.114169921329449E+001	8.4334481E-001	8.4337854E-001	1.239034644393421E-003	0	3.3689116E-006	14	0	1.0449752E-006	6.8067388E+005
2	1	0	1	0	3.120329921173834E+001	8.4026486E-001	8.4021813E-001	1.197224544653645E-003	0	3.4430557E-006	14	0	1.0059298E-006	7.0180494E+005
2	1	0	1	0	3.126489921018219E+001	8.3718479E-001	8.3721244E-001	1.160690129712670E-003	0	3.5147966E-006	14	0	9.7174427E-007	7.2130575E+005
2	1	0	1	0	3.132649920862605E+001	8.3410484E-001	8.3409590E-001	1.123526889247686E-003	0	3.5843361E-006	14	0	9.3712919E-007	7.4239069E+005
