mode	ox/red	error	control changes		time/s	control/V	Ewe/V	<I>/mA		(Q-Qo)/C	I Range		Pwe/W	Rwe/Ohm	
3	0	0	1	0	0.000000000000000E+000	0.0000000E+000	4.4610357E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
3	0	0	0	0	2.999979924214131E+001	9.0028149E-001	4.4604632E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
2	1	0	1	0	3.003059924136323E+001	8.9889687E-001	8.9870596E-001	9.538952882091195E-003	0	7.2089665E-007	13	0	8.5727143E-006	9.4214320E+004
2	1	0	1	0	3.006449924050685E+001	8.9720500E-001	8.9715624E-001	6.355217923923365E-003	0	9.4750141E-007	13	0	5.7016232E-006	1.4116845E+005
2	1	0	1	0	3.012609923895070E+001	8.9412487E-001	8.9407927E-001	4.269628909605361E-003	0	1.2649575E-006	13	0	3.8173866E-006	2.0940444E+005
2	1	0	1	0	3.018769923739455E+001	8.9104491E-001	8.9098477E-001	3.482135986440853E-003	0	1.4985042E-006	13	0	3.1025302E-006	2.5587306E+005
2	1	0	1	0	3.026449923545442E+001	8.8720447E-001	8.8717824E-001	2.940064052300798E-003	0	1.7378205E-006	13	0	2.6083608E-006	3.0175472E+005
2	1	0	1	0	3.034149923350924E+001	8.8335490E-001	8.8330966E-001	2.556155017774765E-003	0	1.9503539E-006	14	0	2.2578765E-006	3.4556184E+005
2	1	0	1	0	3.040309923195309E+001	8.8027483E-001	8.8018680E-001	2.361975721870156E-003	0	2.1003627E-006	14	0	2.0789798E-006	3.7264853E+005
2	1	0	1	0	3.046469923039695E+001	8.7719488E-001	8.7715352E-001	2.206050985195593E-003	0	2.2397271E-006	14	0	1.9350455E-006	3.9761253E+005
2	1	0	1	0	3.052609922884585E+001	8.7412483E-001	8.7413359E-001	2.077258840966406E-003	0	2.3699893E-006	14	0	1.8158017E-006	4.2081109E+005
2	1	0	1	0	3.058769922728970E+001	8.7104481E-001	8.7104666E-001	1.965340518844810E-003	0	2.4935073E-006	14	0	1.7119033E-006	4.4320394E+005
2	1	0	1	0	3.064929922573356E+001	8.6796486E-001	8.6795336E-001	1.879402523657025E-003	0	2.6108767E-006	14	0	1.6312338E-006	4.6182409E+005
2	1	0	1	0	3.071089922417741E+001	8.6488485E-001	8.6484963E-001	1.794450145634976E-003	0	2.7230658E-006	14	0	1.5519296E-006	4.8195800E+005
2	1	0	1	0	3.077249922262126E+001	8.6180478E-001	8.6175597E-001	1.722141106824348E-003	0	2.8306254E-006	14	0	1.4840654E-006	5.0039800E+005
2	1	0	1	0	3.083389922107017E+001	8.5873485E-001	8.5871542E-001	1.661594584861172E-003	0	2.9337150E-006	14	0	1.4268369E-006	5.1680200E+005
