freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	Pwe/W	Rwe/Ohm	
1.0000371E+005	6.7095671E+000	2.2928197E+000	7.0905085E+000	-1.8866526E+001	5.166887649564887E+001	2.9164717E-001	-6.5389112E-002	6.9411922E-001	7.2580367E-002	1.000000000000000E+000	10	9.0568503E-003	1.2773203E-003	0	-2.617546130857792E-005	1.3345650E-001	4.5605280E-002	1.4103360E-001	1.8866526E+001	7.2580360E+001	2.1239474E+002	2.2445364E+002	-7.1133476E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1133476E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1133476E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8866526E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8866526E+001	2.9263387E+000	7.1133476E+001	-2.617546130857792E-005	-1.9070549E-005	4.4601792E+003
6.8261953E+004	6.7953286E+000	3.4164715E+000	7.6058378E+000	-2.6691771E+001	5.210587475643842E+001	2.9165131E-001	-6.4934976E-002	6.8243867E-001	1.3769719E-001	1.000000000000000E+000	10	1.0515213E-002	1.3825187E-003	0	-3.665669772973181E-005	1.1746713E-001	5.9058670E-002	1.3147795E-001	2.6691771E+001	1.3769722E+002	2.7387839E+002	3.0654510E+002	-6.3308228E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.3308228E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.3308228E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.6691771E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.6691771E+001	1.9889903E+000	6.3308228E+001	-1.048123642115388E-005	-1.8938370E-005	4.4914360E+003
4.6596645E+004	6.9296989E+000	4.9863362E+000	8.5372286E+000	-3.5737293E+001	5.254288653717958E+001	2.9163942E-001	-6.5225326E-002	6.8498957E-001	2.3367554E-001	1.000000000000000E+000	10	1.0799546E-002	1.2649943E-003	0	-4.407375926376295E-005	9.5078111E-002	6.8414435E-002	1.1713403E-001	3.5737293E+001	2.3367552E+002	3.2474765E+002	4.0008160E+002	-5.4262707E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.4262707E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.4262707E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.5737293E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.5737293E+001	1.3897376E+000	5.4262711E+001	-7.417061534031140E-006	-1.9022276E-005	4.4712603E+003
3.1806711E+004	7.1470318E+000	7.2364321E+000	1.0170841E+001	-4.5356117E+001	5.297987437128904E+001	2.9165295E-001	-6.4825170E-002	6.9147569E-001	3.5003552E-001	1.000000000000000E+000	10	1.0941288E-002	1.0757506E-003	0	-5.098773958435049E-005	6.9089487E-002	6.9953710E-002	9.8320283E-002	4.5356117E+001	3.5003552E+002	3.4571109E+002	4.9197665E+002	-4.4643883E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.4643883E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.4643883E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.5356117E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.5356117E+001	9.8764580E-001	4.4643890E+001	-6.913980320587544E-006	-1.8906452E-005	4.4990693E+003
2.1711699E+004	7.5131655E+000	1.0457437E+001	1.2876554E+001	-5.4304569E+001	5.341689916534233E+001	2.9164639E-001	-6.5281175E-002	7.0097268E-001	4.6233022E-001	1.000000000000000E+000	10	1.0624344E-002	8.2509220E-004	0	-5.980515523119700E-005	4.5313090E-002	6.3070454E-002	7.7660531E-002	5.4304569E+001	4.6233023E+002	3.3216205E+002	5.6928101E+002	-3.5695431E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.5695431E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.5695431E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.4304569E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.4304569E+001	7.1845192E-001	3.5695435E+001	-8.817415646846511E-006	-1.9039018E-005	4.4675420E+003
1.4817771E+004	8.1627359E+000	1.5065936E+001	1.7135130E+001	-6.1551132E+001	5.385389609276899E+001	2.9164565E-001	-6.5167651E-002	7.1292061E-001	5.5113578E-001	1.000000000000000E+000	10	1.0198751E-002	5.9519539E-004	0	-6.742880904266430E-005	2.7801031E-002	5.1312279E-002	5.8359638E-002	6.1551132E+001	5.5113580E+002	2.9860580E+002	6.2683020E+002	-2.8448868E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.8448868E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.8448868E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.1551132E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.1551132E+001	5.4180080E-001	2.8448868E+001	-7.623653811467299E-006	-1.9005862E-005	4.4753130E+003
1.0113567E+004	9.2984657E+000	2.1611536E+001	2.3527004E+001	-6.6719978E+001	5.414987941351137E+001	2.9165965E-001	-6.5681353E-002	7.2816551E-001	6.1442393E-001	1.000000000000000E+000	10	9.5242411E-003	4.0482168E-004	0	-7.265154521215179E-005	1.6798791E-002	3.9043825E-002	4.2504348E-002	6.6719978E+001	6.1442395E+002	2.6435880E+002	6.6888141E+002	-2.3280022E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.3280022E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.3280022E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.6719978E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.6719978E+001	4.3025473E-001	2.3280029E+001	-5.222736169487483E-006	-1.9156601E-005	4.4405244E+003
6.9048516E+003	1.1263524E+001	3.0919554E+001	3.2907230E+001	-6.9984085E+001	5.469887309291516E+001	2.9165754E-001	-5.8977224E-002	7.4547416E-001	6.5813708E-001	1.000000000000000E+000	10	9.9267997E-003	3.0166015E-004	0	-8.133626251064642E-005	1.0401396E-002	2.8552921E-002	3.0388458E-002	6.9984085E+001	6.5813702E+002	2.3974933E+002	7.0044562E+002	-2.0015915E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.0015915E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.0015915E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.9984085E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.9984085E+001	3.6428481E-001	2.0015915E+001	-8.684717298494636E-006	-1.7201151E-005	4.9452573E+003
4.7165098E+003	1.4920300E+001	4.3893108E+001	4.6359684E+001	-7.1225899E+001	5.564710849800758E+001	2.9168341E-001	-7.5265311E-002	7.6878172E-001	6.8915164E-001	1.000000000000000E+000	11	1.0013307E-002	2.1599171E-004	0	-9.861148835340120E-005	6.9421907E-003	2.0422807E-002	2.1570466E-002	7.1225899E+001	6.8915167E+002	2.3425882E+002	7.2787860E+002	-1.8774101E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8774101E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8774101E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1225899E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1225899E+001	3.3992350E-001	1.8774109E+001	-1.727522584275478E-005	-2.1953641E-005	3.8754028E+003
3.2169119E+003	2.1570890E+001	6.1867798E+001	6.5520439E+001	-7.0778328E+001	5.611436361350934E+001	2.9168436E-001	-7.5208306E-002	7.9968017E-001	7.1300411E-001	1.000000000000000E+000	11	9.0662874E-003	1.3837342E-004	0	-1.081702614331492E-004	5.0247503E-003	1.4411562E-002	1.5262413E-002	7.0778328E+001	7.1300409E+002	2.4859673E+002	7.5509943E+002	-1.9221672E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9221672E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9221672E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0778328E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0778328E+001	3.4866104E-001	1.9221680E+001	-9.558773079747983E-006	-2.1937087E-005	3.8783530E+003
