mode	ox/red	error	control changes		time/s	control/V	Ewe/V	<I>/mA		(Q-Qo)/C	I Range		Pwe/W	Rwe/Ohm	
3	0	0	1	0	0.000000000000000E+000	0.0000000E+000	4.5072117E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
3	0	0	0	0	2.999979924214131E+001	9.0028149E-001	4.5056853E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
2	1	0	1	0	3.003059924136323E+001	8.9889687E-001	8.9887768E-001	1.433818321675062E-002	0	7.2453184E-007	13	0	1.2888273E-005	6.2691184E+004
2	1	0	1	0	3.006449924050685E+001	8.9720500E-001	8.9718974E-001	9.321406728004272E-003	0	1.0586235E-006	13	0	8.3630703E-006	9.6250469E+004
2	1	0	1	0	3.012609923895070E+001	8.9412487E-001	8.9408058E-001	5.874019443693188E-003	0	1.5119157E-006	13	0	5.2518467E-006	1.5220933E+005
2	1	0	1	0	3.018769923739455E+001	8.9104491E-001	8.9101821E-001	4.531140580990037E-003	0	1.8253181E-006	13	0	4.0373288E-006	1.9664325E+005
2	1	0	1	0	3.026449923545442E+001	8.8720447E-001	8.8718688E-001	3.621661337051686E-003	0	2.1286085E-006	13	0	3.2130904E-006	2.4496683E+005
2	1	0	1	0	3.034149923350924E+001	8.8335490E-001	8.8333470E-001	3.023684096888420E-003	0	2.3871573E-006	14	0	2.6709251E-006	2.9213856E+005
2	1	0	1	0	3.040309923195309E+001	8.8027483E-001	8.8023430E-001	2.697503600008470E-003	0	2.5609932E-006	14	0	2.3744351E-006	3.2631441E+005
2	1	0	1	0	3.046469923039695E+001	8.7719488E-001	8.7715662E-001	2.443234790697323E-003	0	2.7172957E-006	14	0	2.1430997E-006	3.5901447E+005
2	1	0	1	0	3.052609922884585E+001	8.7412483E-001	8.7409204E-001	2.238437821045228E-003	0	2.8590766E-006	14	0	1.9566007E-006	3.9049200E+005
2	1	0	1	0	3.058769922728970E+001	8.7104481E-001	8.7100857E-001	2.062126786216721E-003	0	2.9898108E-006	14	0	1.7961302E-006	4.2238363E+005
2	1	0	1	0	3.064929922573356E+001	8.6796486E-001	8.6797333E-001	1.915211864396808E-003	0	3.1106827E-006	14	0	1.6623528E-006	4.5319963E+005
2	1	0	1	0	3.071089922417741E+001	8.6488485E-001	8.6480170E-001	1.785004216416402E-003	0	3.2230876E-006	14	0	1.5436747E-006	4.8448159E+005
2	1	0	1	0	3.077249922262126E+001	8.6180478E-001	8.6174858E-001	1.669328361018324E-003	0	3.3280974E-006	14	0	1.4385413E-006	5.1622472E+005
2	1	0	1	0	3.083389922107017E+001	8.5873485E-001	8.5870570E-001	1.571823193609451E-003	0	3.4261986E-006	14	0	1.3497336E-006	5.4631188E+005
2	1	0	1	0	3.089549921951402E+001	8.5565490E-001	8.5557753E-001	1.479933841752479E-003	0	3.5189234E-006	14	0	1.2661982E-006	5.7811875E+005
2	1	0	1	0	3.095709921795788E+001	8.5257477E-001	8.5249764E-001	1.398317508404999E-003	0	3.6063823E-006	14	0	1.1920624E-006	6.0965956E+005
2	1	0	1	0	3.101869921640173E+001	8.4949481E-001	8.4946573E-001	1.325611323281167E-003	0	3.6890635E-006	14	0	1.1260614E-006	6.4081056E+005
2	1	0	1	0	3.108009921485063E+001	8.4642476E-001	8.4641957E-001	1.258133826691963E-003	0	3.7671537E-006	14	0	1.0649090E-006	6.7275800E+005
2	1	0	1	0	3.114169921329449E+001	8.4334481E-001	8.4335572E-001	1.197947581793844E-003	0	3.8417006E-006	14	0	1.0102959E-006	7.0400050E+005
2	1	0	1	0	3.120329921173834E+001	8.4026486E-001	8.4026253E-001	1.136388202519413E-003	0	3.9125339E-006	14	0	9.5486439E-007	7.3941506E+005
2	1	0	1	0	3.126489921018219E+001	8.3718479E-001	8.3715653E-001	1.084122246755892E-003	0	3.9800007E-006	14	0	9.0758004E-007	7.7219756E+005
2	1	0	1	0	3.132649920862605E+001	8.3410484E-001	8.3408767E-001	1.036337824141202E-003	0	4.0443638E-006	14	0	8.6439661E-007	8.0484150E+005
2	1	0	1	0	3.138789920707495E+001	8.3103484E-001	8.3102310E-001	9.902934253682005E-004	0	4.1056041E-006	14	0	8.2295674E-007	8.3916856E+005
2	1	0	1	0	3.144949920551881E+001	8.2795477E-001	8.2793951E-001	9.479827281690840E-004	0	4.1644089E-006	14	0	7.8487238E-007	8.7336981E+005
2	1	0	1	0	3.151109920396266E+001	8.2487476E-001	8.2481098E-001	9.081773184529424E-004	0	4.2206952E-006	14	0	7.4907462E-007	9.0820475E+005
2	1	0	1	0	3.157269920240651E+001	8.2179475E-001	8.2180595E-001	8.723691544069902E-004	0	4.2746419E-006	14	0	7.1691818E-007	9.4203919E+005
2	1	0	1	0	3.163409920085542E+001	8.1872475E-001	8.1870764E-001	8.370027902566655E-004	0	4.3261707E-006	14	0	6.8526060E-007	9.7814206E+005
2	1	0	1	0	3.169569919929927E+001	8.1564480E-001	8.1563753E-001	8.062901062152704E-004	0	4.3759787E-006	14	0	6.5764044E-007	1.0115931E+006
2	1	0	1	0	3.175729919774312E+001	8.1256479E-001	8.1254208E-001	7.734321794411816E-004	0	4.4237968E-006	14	0	6.2844617E-007	1.0505666E+006
2	1	0	1	0	3.181889919618698E+001	8.0948466E-001	8.0948782E-001	7.472022312979242E-004	0	4.4697899E-006	14	0	6.0485110E-007	1.0833584E+006
2	1	0	1	0	3.188049919463083E+001	8.0640477E-001	8.0641598E-001	7.205348115332166E-004	0	4.5141505E-006	14	0	5.8105076E-007	1.1191909E+006
2	1	0	1	0	3.194189919307973E+001	8.0333471E-001	8.0337930E-001	6.934970288098793E-004	0	4.5566780E-006	14	0	5.5714116E-007	1.1584466E+006
2	1	0	1	0	3.200349919152359E+001	8.0025470E-001	8.0028588E-001	6.689681049197142E-004	0	4.5978882E-006	14	0	5.3536570E-007	1.1962990E+006
2	1	0	1	0	3.206509918996744E+001	7.9717475E-001	7.9719979E-001	6.465198501212251E-004	0	4.6376940E-006	14	0	5.1540547E-007	1.2330631E+006
2	1	0	1	0	3.212669918841129E+001	7.9409474E-001	7.9415929E-001	6.255151427825671E-004	0	4.6761270E-006	14	0	4.9675867E-007	1.2696084E+006
2	1	0	1	0	3.218809918686020E+001	7.9102474E-001	7.9103583E-001	6.053641717861814E-004	0	4.7131366E-006	14	0	4.7886476E-007	1.3067106E+006
2	1	0	1	0	3.224969918530405E+001	7.8794461E-001	7.8798389E-001	5.871767433409843E-004	0	4.7491139E-006	14	0	4.6268582E-007	1.3419876E+006
