scan_rate_Vs,ipa_A,Epa_V,ipc_A,Epc_V,delta_Ep_V,ipa_ipc_ratio
0.5003225126392209,0.00012439151658830353,0.41571143,-0.00017470118407997924,0.17693768,0.23877374999999998,0.7120244619026529
0.20009750505502916,8.819123922868979e-05,0.38850883,-0.00011722878315879919,0.20090535,0.18760348000000002,0.7523002188739358
0.10007050252799259,6.7104197170755e-05,0.37154728,-8.695518488953373e-05,0.21389765,0.15764962999999999,0.7717101315580311
0.05003375126399197,5.0424722823124784e-05,0.35948068,-6.496911895975906e-05,0.22486396,0.13461672,0.776133702141738
0.024994582925671666,3.72691264383622e-05,0.35090587,-4.8404106460794085e-05,0.23243277,0.1184731,0.7699579470297444
0.010006523666079379,2.430623267728312e-05,0.34300739,-3.263642178318524e-05,0.23951179,0.10349560000000002,0.7447578916205221
