sample,cycle,C_rate,Qc_mAh_g,Qd_mAh_g,CE_percent
DS,1,0.06541655831756484,7184.490271449732,252.49998422440473,3.5145149437783796
DS,2,0.06530799494277705,888.8314720995539,285.10555124692456,32.07644645766899
DS,3,0.06532935662522402,920.0714098835285,282.3532908672646,30.688193093947742
DS,4,0.06534111707763483,1408.8279425242142,275.29177717393173,19.540482472308724
DS,5,0.06549175665069068,1495.5969751156467,659.0141863821813,44.06362123935313
DS,6,0.06546563926926009,2380.3858585802836,428.26391871310614,17.991365440581657
DS,7,0.06557072615919564,7235.760004716973,1126.543788387335,15.569114891220053
DS,8,0.06569959306737003,102892.6307284965,1558.3405184807418,1.5145307369900434
DS,9,0.06564422675142184,1226.1476381108373,1454.659072046126,118.6365350168894
DS,10,0.06558924240900053,779.0132656370821,1309.9090694304691,168.14977705921567
DS,11,0.5758592666549718,1.9513460831337432,1.27596232720547,65.38882765256854
DS,12,0.5871819100934071,1.479416924371813,1.276228488902601,86.26564073170316
DS,13,0.5868239516909227,1.3422091864436618,1.2089121493947415,90.06883290658246
DS,14,0.5865020060927351,1.2742015554641026,1.2772499366722643,100.23923854080144
DS,15,0.5858669628350446,1.4090303674487858,1.2772199127206774,90.64530773976384
DS,16,0.5854794360248449,1.3404968272527793,1.2099286831845362,90.25972002217789
DS,17,0.5853187616521174,1.204971070694815,1.2099450053327356,100.41278456876583
DS,18,0.585271207006194,1.2722701412639386,1.2775204051137405,100.41266895131142
DS,19,0.585383270142307,1.204357069883917,1.1425222646655868,94.86574150104086
DS,20,0.5845377475698164,1.2047027153755854,1.209412255215565,100.39092962768923
DS,21,1.2123543686426326,0.9632530444595003,0.8031443447947562,83.37833442773241
DS,22,1.2136436673639843,0.7959834023166478,0.8034602263690817,100.93931909015606
DS,23,1.2134441572347996,0.795873627868825,0.8031688280170807,100.91662795358486
DS,24,1.2133474348274096,0.7959251546504678,0.8034832694018698,100.94960119142374
DS,25,1.2132326455260367,0.7958262616347771,0.8034723879697199,100.96077833863339
DS,26,1.2133506933207865,0.7954209282873583,0.8034575060110573,101.01035532733627
DS,27,1.2132992994598855,0.7956052725495945,0.8035360763519834,100.99682645100805
DS,28,1.2137737167383054,0.7957028853967795,0.9388282298067125,117.98728483164457
DS,29,1.2142186140024667,0.9296751317955841,0.803309806571783,86.40758250898485
DS,30,1.213086206897898,0.7954169277608452,0.9387365644089174,118.01817784435733
FZ,1,0.06579782792138639,16772.602029440648,3710.922661816202,22.124907365610213
FZ,2,0.06578425752670912,5304.967913070425,3637.5545768463926,68.56883277058387
FZ,3,0.06578486300711146,4663.401514878254,3478.3189807552003,74.58759383376852
FZ,4,0.06578303981886892,4280.334192892542,3341.076251834152,78.05643441070515
FZ,5,0.06577764706040311,4044.9981742770697,3252.9709852946194,80.41959094026036
FZ,6,0.06578220820105608,3880.2306751954106,3192.9986039955825,82.2888861841901
FZ,7,0.06577490920768869,3753.608562381329,3136.342543167768,83.5553971876609
FZ,8,0.06577322210202871,3645.4823371116536,3085.730189718419,84.6453199979915
FZ,9,0.06577277095289477,3551.683806635951,3034.7574771683144,85.44559826801549
FZ,10,0.06577491487099205,3471.852391925952,3001.626356323245,86.45604759302982
FZ,11,0.6165273529947484,1.7600867181829356,0.19903841594000843,11.308443719494123
FZ,12,0.6159551647838447,0.7430046426739786,0.19916989372711869,26.806009315141253
FZ,13,0.6151178449038286,0.6067376952351271,0.1991963167217219,32.83071387950076
FZ,14,0.6145374298036942,0.5384188099556471,0.19926748608849712,37.00975567791029
FZ,15,0.6141734302835468,0.5383338921126285,0.1991949565427113,37.00212070263568
FZ,16,0.6135498159494167,0.4701486977629469,0.1992457832321359,42.379311945387414
FZ,17,0.6132415979644096,0.4698118600973286,0.19920717863436233,42.40147930558704
FZ,18,0.613029537796364,0.46991309342097076,0.19920241752466253,42.3913315703692
FZ,19,0.6129054730806868,0.46997633507774905,0.1992275013091332,42.390964488919344
FZ,20,0.6123769680384242,0.4017552364911095,0.199339996115126,49.61727390441549
FZ,21,1.2320988059866353,0.2640044532682291,0.26640039527367715,100.9075384811838
FZ,22,1.233862489724116,0.26326032866457283,0.26632630552244796,101.16461787973437
FZ,23,1.236756999712934,0.398080472359154,0.2658840073099468,66.7915222603691
FZ,24,1.234411239366326,0.26338775876945547,0.2662020491686141,101.06849703733651
FZ,25,1.2370848170516644,0.3979841796858402,0.26584784255016847,66.7985955522209
FZ,26,1.2366192073840554,0.3980831536774048,0.2657963424387146,66.76905063259933
FZ,27,1.2338160642590623,0.26320432129323823,0.26615326941519624,101.12040262388876
FZ,28,1.2368815644944366,0.3979774588012854,0.26588446070295363,66.80892468226769
FZ,29,1.2339067536143513,0.26324542003572615,0.26614241368500335,101.10049156748258
FZ,30,1.2366919266323095,0.39794761487345437,0.2658483226133528,66.804853874521
HE,1,0.06582161589889282,250864.61074769645,98126.01524297285,39.11512865465975
HE,2,0.06582092951702385,206323.61728599918,210064.85647584277,101.81328693198395
HE,3,0.06581980062968842,226415.38611723174,223746.60901917546,98.82129163400826
HE,4,0.06582022254184011,225872.7560508201,226179.427758821,100.13577188916574
HE,5,0.06582053454686386,227288.43133099342,227374.95626104757,100.03806833878322
HE,6,0.06581895806448432,228187.18461738623,227850.67398302633,99.85252868826787
HE,7,0.06581941472601568,228565.55155068892,227958.934162115,99.73459806849354
HE,8,0.06582196969892519,228608.76738494038,227910.38723433125,99.69450858836348
HE,9,0.06582008944535504,228490.38098167576,227729.4561927563,99.66697732059868
