mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	step time/s	Pwe/W	Rwe/Ohm	
2	1	0	1	0	4.223579893303395E+001	4.5008618E-001	4.4996202E-001	9.405495971441269E-002	1.000000000000000E+000	0.0000000E+000	13	0.000000000000000E+000	4.2321160E-005	4.7840327E+003
2	1	0	1	0	4.224129893289501E+001	4.5063627E-001	4.5041242E-001	9.046753292851606E-002	1.000000000000000E+000	5.0166489E-007	13	0.000000000000000E+000	4.0747702E-005	4.9787188E+003
2	1	0	1	0	4.225129893264238E+001	4.5163661E-001	4.5144171E-001	8.516570760144149E-002	1.000000000000000E+000	1.3812804E-006	13	9.999999747378752E-003	3.8447353E-005	5.3007451E+003
2	1	0	1	0	4.226129893238976E+001	4.5263699E-001	4.5243397E-001	8.122878999630401E-002	1.000000000000000E+000	2.2150853E-006	13	1.999999949475750E-002	3.6750665E-005	5.5698721E+003
2	1	0	1	0	4.227129893213714E+001	4.5363739E-001	4.5340183E-001	7.808561579764120E-002	1.000000000000000E+000	3.0137226E-006	13	2.999999924213625E-002	3.5404162E-005	5.8064707E+003
2	1	0	1	0	4.228129893188452E+001	4.5463780E-001	4.5440671E-001	7.554308103216423E-002	1.000000000000000E+000	3.7841808E-006	13	3.999999898951501E-002	3.4327284E-005	6.0151997E+003
2	1	0	1	0	4.229129893163190E+001	4.5563814E-001	4.5539153E-001	7.341475944526321E-002	1.000000000000000E+000	4.5312509E-006	13	4.999999873689376E-002	3.3432458E-005	6.2029971E+003
2	1	0	1	0	4.230129893137928E+001	4.5663851E-001	4.5642933E-001	7.157350530744444E-002	1.000000000000000E+000	5.2584514E-006	13	5.999999848427251E-002	3.2668246E-005	6.3770713E+003
2	1	0	1	0	4.231129893112666E+001	4.5763892E-001	4.5743105E-001	6.993061200612138E-002	1.000000000000000E+000	5.9683903E-006	13	6.999999823165126E-002	3.1988435E-005	6.5412134E+003
2	1	0	1	0	4.232129893087404E+001	4.5863926E-001	4.5841694E-001	6.851555562914491E-002	1.000000000000000E+000	6.6631319E-006	13	7.999999797903001E-002	3.1408690E-005	6.6906987E+003
2	1	0	1	0	4.233129893062141E+001	4.5963967E-001	4.5944837E-001	6.720631027645951E-002	1.000000000000000E+000	7.3442843E-006	13	8.999999772640876E-002	3.0877829E-005	6.8363872E+003
2	1	0	1	0	4.234129893036879E+001	4.6064001E-001	4.6039182E-001	6.605122114221296E-002	1.000000000000000E+000	8.0131340E-006	13	9.999999747378752E-002	3.0409441E-005	6.9702241E+003
2	1	0	1	0	4.235129893011617E+001	4.6164042E-001	4.6139780E-001	6.495079535266635E-002	1.000000000000000E+000	8.6707605E-006	13	1.099999972211663E-001	2.9968154E-005	7.1038052E+003
2	1	0	1	0	4.236129892986355E+001	4.6264079E-001	4.6239638E-001	6.397582007209890E-002	1.000000000000000E+000	9.3180588E-006	13	1.199999969685450E-001	2.9582188E-005	7.2276743E+003
2	1	0	1	0	4.237129892961093E+001	4.6364120E-001	4.6342248E-001	6.305762239369694E-002	1.000000000000000E+000	9.9557401E-006	13	1.299999967159238E-001	2.9222319E-005	7.3491904E+003
2	1	0	1	0	4.238129892935831E+001	4.6464154E-001	4.6441683E-001	6.218817697501644E-002	1.000000000000000E+000	1.0584493E-005	13	1.399999964633025E-001	2.8881235E-005	7.4679282E+003
