mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	step time/s	Pwe/W	Rwe/Ohm	
2	1	0	1	0	1.216239969275193E+001	4.5908958E-001	4.5891103E-001	1.060515567660332E-001	1.000000000000000E+000	0.0000000E+000	12	0.000000000000000E+000	4.8668229E-005	4.3272446E+003
2	1	0	1	0	1.216509969268373E+001	4.5963964E-001	4.5944974E-001	1.046930336540201E-001	1.000000000000000E+000	2.8392569E-007	12	0.000000000000000E+000	4.8101188E-005	4.3885415E+003
2	1	0	1	0	1.217009969255741E+001	4.6064001E-001	4.6039012E-001	1.023653760089279E-001	1.000000000000000E+000	8.0325646E-007	12	4.999999873689376E-003	4.7128007E-005	4.4975181E+003
2	1	0	1	0	1.217509969243110E+001	4.6164036E-001	4.6144000E-001	1.004685778601055E-001	1.000000000000000E+000	1.3120318E-006	12	9.999999747378752E-003	4.6360219E-005	4.5928789E+003
2	1	0	1	0	1.218009969230479E+001	4.6264079E-001	4.6247941E-001	9.853761104876968E-002	1.000000000000000E+000	1.8109876E-006	12	1.499999962106813E-002	4.5571618E-005	4.6934302E+003
2	1	0	1	0	1.218509969217848E+001	4.6364120E-001	4.6347666E-001	9.680378569021797E-002	1.000000000000000E+000	2.3009190E-006	12	1.999999949475750E-002	4.4866294E-005	4.7877949E+003
2	1	0	1	0	1.219009969205217E+001	4.6464157E-001	4.6444234E-001	9.512561827432342E-002	1.000000000000000E+000	2.7824365E-006	12	2.499999936844688E-002	4.4180364E-005	4.8824106E+003
2	1	0	1	0	1.219509969192586E+001	4.6564192E-001	4.6545652E-001	9.362328716594237E-002	1.000000000000000E+000	3.2560235E-006	12	2.999999924213625E-002	4.3577569E-005	4.9715894E+003
2	1	0	1	0	1.220009969179955E+001	4.6664229E-001	4.6645287E-001	9.215249419440097E-002	1.000000000000000E+000	3.7221744E-006	12	3.499999911582563E-002	4.2984797E-005	5.0617500E+003
2	1	0	1	0	1.220509969167324E+001	4.6764264E-001	4.6743888E-001	9.076383407860389E-002	1.000000000000000E+000	4.1812791E-006	12	3.999999898951501E-002	4.2426545E-005	5.1500566E+003
2	1	0	1	0	1.221009969154693E+001	4.6864301E-001	4.6844104E-001	8.952467346503212E-002	1.000000000000000E+000	4.6337318E-006	12	4.499999886320438E-002	4.1937030E-005	5.2325356E+003
2	1	0	1	0	1.221509969142062E+001	4.6964341E-001	4.6943742E-001	8.827700992317333E-002	1.000000000000000E+000	5.0798567E-006	12	4.999999873689376E-002	4.1440533E-005	5.3177769E+003
2	1	0	1	0	1.222009969129431E+001	4.7064379E-001	4.7044578E-001	8.703390815239609E-002	1.000000000000000E+000	5.5200080E-006	12	5.499999861058313E-002	4.0944735E-005	5.4053159E+003
2	1	0	1	0	1.222509969116800E+001	4.7164419E-001	4.7147372E-001	8.595240144717090E-002	1.000000000000000E+000	5.9544718E-006	12	5.999999848427251E-002	4.0524297E-005	5.4852886E+003
2	1	0	1	0	1.223009969104169E+001	4.7264460E-001	4.7246173E-001	8.495448842270137E-002	1.000000000000000E+000	6.3835314E-006	12	6.499999835796189E-002	4.0137744E-005	5.5613511E+003
2	1	0	1	0	1.223509969091538E+001	4.7364497E-001	4.7344732E-001	8.389103157273725E-002	1.000000000000000E+000	6.8072504E-006	12	6.999999823165126E-002	3.9717983E-005	5.6435986E+003
2	1	0	1	0	1.224009969078907E+001	4.7464532E-001	4.7444743E-001	8.286538963590773E-002	1.000000000000000E+000	7.2259272E-006	12	7.499999810534064E-002	3.9315270E-005	5.7255200E+003
2	1	0	1	0	1.224509969066276E+001	4.7564569E-001	4.7544625E-001	8.191857683730475E-002	1.000000000000000E+000	7.6397146E-006	12	7.999999797903001E-002	3.8947881E-005	5.8038882E+003
2	1	0	1	0	1.225009969053644E+001	4.7664607E-001	4.7644055E-001	8.100924336948734E-002	1.000000000000000E+000	8.0488362E-006	12	8.499999785271939E-002	3.8596088E-005	5.8813110E+003
2	1	0	1	0	1.225509969041013E+001	4.7764647E-001	4.7750825E-001	8.013116448748203E-002	1.000000000000000E+000	8.4534595E-006	12	8.999999772640876E-002	3.8263293E-005	5.9590830E+003
2	1	0	1	0	1.226009969028382E+001	4.7864681E-001	4.7848719E-001	7.925570610424770E-002	1.000000000000000E+000	8.8537090E-006	12	9.499999760009814E-002	3.7922840E-005	6.0372588E+003
2	1	0	1	0	1.226509969015751E+001	4.7964719E-001	4.7949600E-001	7.839580868755491E-002	1.000000000000000E+000	9.2496812E-006	12	9.999999747378752E-002	3.7590478E-005	6.1163477E+003
2	1	0	1	0	1.227009969003120E+001	4.8064756E-001	4.8045132E-001	7.763368744053867E-002	1.000000000000000E+000	9.6416170E-006	12	1.049999973474769E-001	3.7299207E-005	6.1886963E+003
2	1	0	1	0	1.227509968990489E+001	4.8164797E-001	4.8147961E-001	7.681334095895725E-002	1.000000000000000E+000	1.0029500E-005	12	1.099999972211663E-001	3.6984056E-005	6.2681768E+003
2	1	0	1	0	1.228009968977858E+001	4.8264831E-001	4.8245937E-001	7.606912680152500E-002	1.000000000000000E+000	1.0413497E-005	12	1.149999970948556E-001	3.6700261E-005	6.3423809E+003
2	1	0	1	0	1.228509968965227E+001	4.8364875E-001	4.8343465E-001	7.530064044302609E-002	1.000000000000000E+000	1.0793625E-005	12	1.199999969685450E-001	3.6402940E-005	6.4200601E+003
2	1	0	1	0	1.229009968952596E+001	4.8464909E-001	4.8442975E-001	7.454777969130966E-002	1.000000000000000E+000	1.1170098E-005	12	1.249999968422344E-001	3.6113161E-005	6.4982451E+003
2	1	0	1	0	1.229509968939965E+001	4.8564953E-001	4.8547584E-001	7.382520450704333E-002	1.000000000000000E+000	1.1543019E-005	12	1.299999967159238E-001	3.5840352E-005	6.5760176E+003
2	1	0	1	0	1.230009968927334E+001	4.8664987E-001	4.8645315E-001	7.320538675286037E-002	1.000000000000000E+000	1.1912496E-005	12	1.349999965896131E-001	3.5610992E-005	6.6450459E+003
2	1	0	1	0	1.230509968914703E+001	4.8765025E-001	4.8745698E-001	7.251385804240473E-002	1.000000000000000E+000	1.2278573E-005	12	1.399999964633025E-001	3.5347384E-005	6.7222598E+003
2	1	0	1	0	1.231009968902072E+001	4.8865056E-001	4.8848563E-001	7.188463391629851E-002	1.000000000000000E+000	1.2641366E-005	12	1.449999963369919E-001	3.5114612E-005	6.7954111E+003
2	1	0	1	0	1.231509968889441E+001	4.8965096E-001	4.8947665E-001	7.121475253876719E-002	1.000000000000000E+000	1.3000918E-005	12	1.499999962106813E-001	3.4857960E-005	6.8732480E+003
2	1	0	1	0	1.232009968876810E+001	4.9065131E-001	4.9047461E-001	7.062486682084679E-002	1.000000000000000E+000	1.3357239E-005	12	1.549999960843707E-001	3.4639703E-005	6.9447861E+003
2	1	0	1	0	1.232509968864179E+001	4.9165174E-001	4.9147841E-001	6.998070470454754E-002	1.000000000000000E+000	1.3710445E-005	12	1.599999959580600E-001	3.4394005E-005	7.0230562E+003
2	1	0	1	0	1.233009968851547E+001	4.9265215E-001	4.9245617E-001	6.934228567115519E-002	1.000000000000000E+000	1.4060568E-005	12	1.649999958317494E-001	3.4148037E-005	7.1018164E+003
2	1	0	1	0	1.233509968838916E+001	4.9365252E-001	4.9344510E-001	6.877874516320209E-002	1.000000000000000E+000	1.4407727E-005	12	1.699999957054388E-001	3.3938533E-005	7.1743838E+003
2	1	0	1	0	1.234009968826285E+001	4.9465287E-001	4.9446049E-001	6.817808215197596E-002	1.000000000000000E+000	1.4751909E-005	12	1.749999955791282E-001	3.3711367E-005	7.2524849E+003
2	1	0	1	0	1.234509968813654E+001	4.9565324E-001	4.9547678E-001	6.767227656002994E-002	1.000000000000000E+000	1.5093193E-005	12	1.799999954528175E-001	3.3530043E-005	7.3217100E+003
2	1	0	1	0	1.235009968801023E+001	4.9665365E-001	4.9649885E-001	6.706345044190348E-002	1.000000000000000E+000	1.5431706E-005	12	1.849999953265069E-001	3.3296925E-005	7.4034194E+003
2	1	0	1	0	1.235509968788392E+001	4.9765402E-001	4.9750969E-001	6.650475611272499E-002	1.000000000000000E+000	1.5767469E-005	12	1.899999952001963E-001	3.3086759E-005	7.4808135E+003
2	1	0	1	0	1.236009968775761E+001	4.9865437E-001	4.9847457E-001	6.597994038779498E-002	1.000000000000000E+000	1.6100517E-005	12	1.949999950738857E-001	3.2889322E-005	7.5549414E+003
2	1	0	1	0	1.236509968763130E+001	4.9965474E-001	4.9949211E-001	6.542227728325245E-002	1.000000000000000E+000	1.6430917E-005	12	1.999999949475750E-001	3.2677912E-005	7.6348936E+003
2	1	0	1	0	1.237019968750246E+001	5.0065511E-001	5.0050503E-001	6.494428289641457E-002	1.000000000000000E+000	1.6765203E-005	12	2.050999948187382E-001	3.2504940E-005	7.7066836E+003
2	1	0	1	0	1.237519968737615E+001	5.0165558E-001	5.0150579E-001	6.446804747710411E-002	1.000000000000000E+000	1.7090360E-005	12	2.100999946924276E-001	3.2331100E-005	7.7791372E+003
2	1	0	1	0	1.238019968724984E+001	5.0265592E-001	5.0248945E-001	6.393368821128131E-002	1.000000000000000E+000	1.7413005E-005	12	2.150999945661169E-001	3.2126005E-005	7.8595410E+003
2	1	0	1	0	1.238519968712353E+001	5.0365627E-001	5.0349629E-001	6.348282274583739E-002	1.000000000000000E+000	1.7733180E-005	12	2.200999944398063E-001	3.1963365E-005	7.9312207E+003
2	1	0	1	0	1.239019968699722E+001	5.0465673E-001	5.0449377E-001	6.296950434757942E-002	1.000000000000000E+000	1.8051051E-005	12	2.250999943134957E-001	3.1767722E-005	8.0117158E+003
2	1	0	1	0	1.239519968687091E+001	5.0565696E-001	5.0550371E-001	6.247844397148605E-002	1.000000000000000E+000	1.8366480E-005	12	2.300999941871851E-001	3.1583084E-005	8.0908501E+003
2	1	0	1	0	1.240019968674460E+001	5.0665748E-001	5.0651419E-001	6.205194231072486E-002	1.000000000000000E+000	1.8679486E-005	12	2.350999940608745E-001	3.1430191E-005	8.1627451E+003
2	1	0	1	0	1.240519968661829E+001	5.0765777E-001	5.0747734E-001	6.153276273306063E-002	1.000000000000000E+000	1.8990084E-005	12	2.400999939345638E-001	3.1226482E-005	8.2472705E+003
2	1	0	1	0	1.241019968649198E+001	5.0865817E-001	5.0847304E-001	6.108884093290834E-002	1.000000000000000E+000	1.9298481E-005	12	2.450999938082532E-001	3.1062027E-005	8.3235010E+003
2	1	0	1	0	1.241519968636567E+001	5.0965852E-001	5.0949299E-001	6.065698616690829E-002	1.000000000000000E+000	1.9604542E-005	12	2.500999936819426E-001	3.0904310E-005	8.3995762E+003
2	1	0	1	0	1.242019968623936E+001	5.1065898E-001	5.1050907E-001	6.023106430405845E-002	1.000000000000000E+000	1.9908468E-005	12	2.550999935556320E-001	3.0748506E-005	8.4758438E+003
2	1	0	1	0	1.242519968611305E+001	5.1165932E-001	5.1147574E-001	5.978091966773547E-002	1.000000000000000E+000	2.0210247E-005	12	2.600999934293213E-001	3.0576492E-005	8.5558359E+003
2	1	0	1	0	1.243019968598674E+001	5.1265973E-001	5.1248574E-001	5.943429657848109E-002	1.000000000000000E+000	2.0509933E-005	12	2.650999933030107E-001	3.0459230E-005	8.6227275E+003
2	1	0	1	0	1.243519968586043E+001	5.1366007E-001	5.1347101E-001	5.898292437367747E-002	1.000000000000000E+000	2.0807489E-005	12	2.700999931767001E-001	3.0286021E-005	8.7054180E+003
2	1	0	1	0	1.244019968573411E+001	5.1466042E-001	5.1450139E-001	5.856126524701144E-002	1.000000000000000E+000	2.1102904E-005	12	2.750999930503895E-001	3.0129853E-005	8.7856943E+003
2	1	0	1	0	1.244519968560780E+001	5.1566082E-001	5.1551050E-001	5.815637600211288E-002	1.000000000000000E+000	2.1396265E-005	12	2.800999929240788E-001	2.9980223E-005	8.8642129E+003
2	1	0	1	0	1.245019968548149E+001	5.1666117E-001	5.1650614E-001	5.776919638182421E-002	1.000000000000000E+000	2.1687658E-005	12	2.850999927977682E-001	2.9838144E-005	8.9408574E+003
2	1	0	1	0	1.245519968535518E+001	5.1766157E-001	5.1750010E-001	5.738274285712652E-002	1.000000000000000E+000	2.1977043E-005	12	2.900999926714576E-001	2.9695575E-005	9.0183926E+003
2	1	0	1	0	1.246019968522887E+001	5.1866192E-001	5.1850832E-001	5.697698487016514E-002	1.000000000000000E+000	2.2264445E-005	12	2.950999925451470E-001	2.9543040E-005	9.1003115E+003
2	1	0	1	0	1.246519968510256E+001	5.1966232E-001	5.1948148E-001	5.657766274089227E-002	1.000000000000000E+000	2.2549895E-005	12	3.000999924188363E-001	2.9391049E-005	9.1817412E+003
2	1	0	1	0	1.247019968497625E+001	5.2066272E-001	5.2050716E-001	5.619995471087447E-002	1.000000000000000E+000	2.2833476E-005	12	3.050999922925257E-001	2.9252478E-005	9.2617002E+003
2	1	0	1	0	1.247519968484994E+001	5.2166313E-001	5.2150238E-001	5.579622280096019E-002	1.000000000000000E+000	2.3115143E-005	12	3.100999921662151E-001	2.9097862E-005	9.3465537E+003
2	1	0	1	0	1.248019968472363E+001	5.2266347E-001	5.2248764E-001	5.542877907877963E-002	1.000000000000000E+000	2.3394903E-005	12	3.150999920399045E-001	2.8960852E-005	9.4262881E+003
2	1	0	1	0	1.248519968459732E+001	5.2366388E-001	5.2346158E-001	5.509798533537180E-002	1.000000000000000E+000	2.3672839E-005	12	3.200999919135938E-001	2.8841678E-005	9.5005576E+003
2	1	0	1	0	1.249019968447101E+001	5.2466422E-001	5.2449119E-001	5.470408274149230E-002	1.000000000000000E+000	2.3948998E-005	12	3.250999917872832E-001	2.8691809E-005	9.5877891E+003
2	1	0	1	0	1.249519968434470E+001	5.2566457E-001	5.2551281E-001	5.437668896775005E-002	1.000000000000000E+000	2.4223295E-005	12	3.300999916609726E-001	2.8575647E-005	9.6643037E+003
