mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	step time/s	Pwe/W	Rwe/Ohm	
2	1	0	0	0	4.625409883152315E+002	4.4738516E-001	4.4709986E-001	3.341894969344139E-002	1.000000000000000E+000	0.0000000E+000	13	0.000000000000000E+000	1.4941608E-005	1.3378633E+004
2	1	0	0	0	4.625959883138421E+002	4.4793519E-001	4.4769228E-001	2.796312741055668E-002	1.000000000000000E+000	1.5757277E-006	13	0.000000000000000E+000	1.2518876E-005	1.6010093E+004
2	1	0	0	0	4.626959883113159E+002	4.4893560E-001	4.4872579E-001	2.468657596640422E-002	1.000000000000000E+000	4.1932271E-006	13	9.999999747378752E-002	1.1077504E-005	1.8176914E+004
2	1	0	0	0	4.627959883087897E+002	4.4993597E-001	4.4972864E-001	2.349526684998560E-002	1.000000000000000E+000	6.5999870E-006	13	1.999999949475750E-001	1.0566494E-005	1.9141244E+004
2	1	0	0	0	4.628959883062635E+002	4.5093629E-001	4.5072407E-001	2.277815781525094E-002	1.000000000000000E+000	8.9133273E-006	13	2.999999924213625E-001	1.0266664E-005	1.9787555E+004
2	1	0	0	0	4.629959883037372E+002	4.5193675E-001	4.5177776E-001	2.224423982961865E-002	1.000000000000000E+000	1.1164651E-005	13	3.999999898951501E-001	1.0049453E-005	2.0309877E+004
2	1	0	1	0	4.630960883012085E+002	4.5293623E-001	4.5273179E-001	2.180199610809358E-002	1.000000000000000E+000	1.3369661E-005	13	5.000999873664114E-001	9.8704568E-006	2.0765611E+004
2	1	0	1	0	4.631961882986798E+002	4.5393744E-001	4.5377493E-001	2.141774057721096E-002	1.000000000000000E+000	1.5533507E-005	13	6.001999848376727E-001	9.7188340E-006	2.1186871E+004
2	1	0	1	0	4.632961882961536E+002	4.5493785E-001	4.5472044E-001	2.107020295699368E-002	1.000000000000000E+000	1.7658676E-005	13	7.001999823114602E-001	9.5810519E-006	2.1581209E+004
2	1	0	1	0	4.633961882936273E+002	4.5593825E-001	4.5570633E-001	2.075017061455321E-002	1.000000000000000E+000	1.9750525E-005	13	8.001999797852477E-001	9.4559837E-006	2.1961570E+004
2	1	0	1	0	4.634961882911011E+002	4.5693865E-001	4.5670915E-001	2.044977190154090E-002	1.000000000000000E+000	2.1811304E-005	13	9.001999772590352E-001	9.3395975E-006	2.2333215E+004
2	1	0	1	0	4.635962882885724E+002	4.5793852E-001	4.5773697E-001	2.016469632128440E-002	1.000000000000000E+000	2.3844908E-005	13	1.000299974730297E+000	9.2301270E-006	2.2699918E+004
