mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	step time/s	Pwe/W	Rwe/Ohm	
2	1	0	1	0	2.224429943806172E+002	4.4788536E-001	4.4769138E-001	4.786369204521179E-002	1.000000000000000E+000	0.0000000E+000	13	0.000000000000000E+000	2.1428163E-005	9.3534648E+003
2	1	0	1	0	2.224649943800614E+002	4.4843543E-001	4.4824564E-001	4.335123699706012E-002	1.000000000000000E+000	9.6743645E-007	13	0.000000000000000E+000	1.9432004E-005	1.0339858E+004
2	1	0	1	0	2.225049943790509E+002	4.4943577E-001	4.4920605E-001	3.887867776390996E-002	1.000000000000000E+000	2.6066832E-006	13	3.999999898951501E-002	1.7464537E-005	1.1554047E+004
2	1	0	1	0	2.225449943780404E+002	4.5043617E-001	4.5024064E-001	3.665404069060629E-002	1.000000000000000E+000	4.1158837E-006	13	7.999999797903001E-002	1.6503140E-005	1.2283520E+004
2	1	0	1	0	2.225849943770299E+002	4.5143658E-001	4.5123190E-001	3.524009434629888E-002	1.000000000000000E+000	5.5535697E-006	13	1.199999969685450E-001	1.5901454E-005	1.2804503E+004
2	1	0	1	0	2.226249943760195E+002	4.5243692E-001	4.5220920E-001	3.422370923246133E-002	1.000000000000000E+000	6.9432381E-006	13	1.599999959580600E-001	1.5476277E-005	1.3213331E+004
2	1	0	1	0	2.226649943750090E+002	4.5343733E-001	4.5323852E-001	3.342968225479136E-002	1.000000000000000E+000	8.2969036E-006	13	1.999999949475750E-001	1.5151620E-005	1.3557967E+004
2	1	0	1	0	2.227049943739985E+002	4.5443770E-001	4.5420530E-001	3.276663167433747E-002	1.000000000000000E+000	9.6215881E-006	13	2.399999939370900E-001	1.4882778E-005	1.3861824E+004
2	1	0	1	0	2.227449943729880E+002	4.5543805E-001	4.5519012E-001	3.219889010695076E-002	1.000000000000000E+000	1.0921804E-005	13	2.799999929266050E-001	1.4656617E-005	1.4136826E+004
2	1	0	1	0	2.227849943719775E+002	4.5643845E-001	4.5627981E-001	3.169064273386568E-002	1.000000000000000E+000	1.2200589E-005	13	3.199999919161201E-001	1.4459801E-005	1.4397935E+004
2	1	0	1	0	2.228249943709670E+002	4.5743880E-001	4.5722541E-001	3.123381685423898E-002	1.000000000000000E+000	1.3460168E-005	13	3.599999909056351E-001	1.4280895E-005	1.4638794E+004
2	1	0	1	0	2.228649943699565E+002	4.5843920E-001	4.5822722E-001	3.081626081903893E-002	1.000000000000000E+000	1.4702247E-005	13	3.999999898951501E-001	1.4120849E-005	1.4869656E+004
2	1	0	1	0	2.229049943689461E+002	4.5943958E-001	4.5926812E-001	3.041995643101997E-002	1.000000000000000E+000	1.5928095E-005	13	4.399999888846651E-001	1.3970916E-005	1.5097593E+004
2	1	0	1	0	2.229450943679331E+002	4.6043941E-001	4.6022794E-001	3.005501267345435E-002	1.000000000000000E+000	1.7141729E-005	13	4.800999878716539E-001	1.3832157E-005	1.5312852E+004
2	1	0	0	0	2.229851943669200E+002	4.6144032E-001	4.6126214E-001	2.970812908398202E-002	1.000000000000000E+000	1.8340996E-005	13	5.201999868586427E-001	1.3703235E-005	1.5526462E+004
2	1	0	0	0	2.230251943659096E+002	4.6244073E-001	4.6223733E-001	2.937306800173056E-002	1.000000000000000E+000	1.9523623E-005	13	5.601999858481577E-001	1.3577329E-005	1.5736773E+004
2	1	0	0	0	2.230651943648991E+002	4.6344110E-001	4.6325603E-001	2.904971782477384E-002	1.000000000000000E+000	2.0693200E-005	13	6.001999848376727E-001	1.3457457E-005	1.5947006E+004
2	1	0	0	0	2.231051943638886E+002	4.6444145E-001	4.6423557E-001	2.874380260555759E-002	1.000000000000000E+000	2.1850310E-005	13	6.401999838271877E-001	1.3343895E-005	1.6150806E+004
2	1	0	0	0	2.231451943628781E+002	4.6544185E-001	4.6522889E-001	2.845057594337652E-002	1.000000000000000E+000	2.2995398E-005	13	6.801999828167027E-001	1.3236030E-005	1.6352178E+004
2	1	0	0	0	2.231851943618676E+002	4.6644220E-001	4.6618500E-001	2.816630054942904E-002	1.000000000000000E+000	2.4128891E-005	13	7.201999818062177E-001	1.3130707E-005	1.6551162E+004
2	1	0	0	0	2.232251943608571E+002	4.6744260E-001	4.6728542E-001	2.789037852216777E-002	1.000000000000000E+000	2.5251176E-005	13	7.601999807957327E-001	1.3032767E-005	1.6754359E+004
2	1	0	0	0	2.232651943598466E+002	4.6844301E-001	4.6828711E-001	2.762370000584023E-002	1.000000000000000E+000	2.6362593E-005	13	8.001999797852477E-001	1.2935822E-005	1.6952367E+004
2	1	0	0	0	2.233051943588362E+002	4.6944332E-001	4.6924332E-001	2.735885524857107E-002	1.000000000000000E+000	2.7463411E-005	13	8.401999787747627E-001	1.2837960E-005	1.7151424E+004
2	1	0	0	0	2.233451943578257E+002	4.7044373E-001	4.7024500E-001	2.710578380221584E-002	1.000000000000000E+000	2.8553930E-005	13	8.801999777642777E-001	1.2746359E-005	1.7348512E+004
2	1	0	0	0	2.233851943568152E+002	4.7144413E-001	4.7122350E-001	2.685955660863210E-002	1.000000000000000E+000	2.9634455E-005	13	9.201999767537927E-001	1.2656855E-005	1.7543979E+004
2	1	0	0	0	2.234251943558047E+002	4.7244453E-001	4.7225279E-001	2.661832785833897E-002	1.000000000000000E+000	3.0705254E-005	13	9.601999757433077E-001	1.2570579E-005	1.7741641E+004
2	1	0	1	0	2.234652943547917E+002	4.7344548E-001	4.7326708E-001	2.638695794039780E-002	1.000000000000000E+000	3.1769145E-005	13	1.000299974730297E+000	1.2488079E-005	1.7935645E+004
2	1	0	1	0	2.235053943537787E+002	4.7444525E-001	4.7422770E-001	2.615462737118407E-002	1.000000000000000E+000	3.2823686E-005	13	1.040399973717285E+000	1.2403249E-005	1.8131693E+004
2	1	0	1	0	2.235453943527682E+002	4.7544566E-001	4.7525805E-001	2.592957024890089E-002	1.000000000000000E+000	3.3866523E-005	13	1.080399972706800E+000	1.2323237E-005	1.8328805E+004
2	1	0	1	0	2.235853943517577E+002	4.7644600E-001	4.7625664E-001	2.570811414014673E-002	1.000000000000000E+000	3.4900469E-005	13	1.120399971696315E+000	1.2243660E-005	1.8525537E+004
2	1	0	1	0	2.236253943507472E+002	4.7744641E-001	4.7720116E-001	2.549230265768862E-002	1.000000000000000E+000	3.5925732E-005	13	1.160399970685830E+000	1.2164956E-005	1.8719422E+004
2	1	0	1	0	2.236653943497367E+002	4.7844675E-001	4.7825909E-001	2.528150625585129E-002	1.000000000000000E+000	3.6942460E-005	13	1.200399969675345E+000	1.2091110E-005	1.8917350E+004
2	1	0	1	0	2.237053943487263E+002	4.7944713E-001	4.7926512E-001	2.507981800554715E-002	1.000000000000000E+000	3.7950787E-005	13	1.240399968664860E+000	1.2019882E-005	1.9109594E+004
2	1	0	1	0	2.237453943477158E+002	4.8044753E-001	4.8024884E-001	2.487133292428856E-002	1.000000000000000E+000	3.8950955E-005	13	1.280399967654375E+000	1.1944428E-005	1.9309332E+004
2	1	0	1	0	2.237853943467053E+002	4.8144794E-001	4.8128662E-001	2.467747101808870E-002	1.000000000000000E+000	3.9943065E-005	13	1.320399966643890E+000	1.1876937E-005	1.9503076E+004
2	1	0	1	0	2.238253943456948E+002	4.8244828E-001	4.8233715E-001	2.447811705487881E-002	1.000000000000000E+000	4.0927272E-005	13	1.360399965633405E+000	1.1806706E-005	1.9704830E+004
